Tool,GitHub URL,Layer,What it does,Conflict / Overlap,Runtime,Requirements,Licence,Stars (15 Jul 2026),Trend (30d),Activity (Issues / PRs),Activity Status,Verdict,Decision Rule
RTK,https://github.com/rtk-ai/rtk,Shell output,Rust hook rewrites Bash cmds; compresses git/test/lint output. 90+ patterns. No Bun yet.,Either/or with sqz and lean-ctx — pick exactly one,Rust binary,Rust binary; no model calls; no external deps,Apache-2.0,71000,▲ +1%,"122 contributors, dev-0.44.0-rc.312 (7 Jul 2026), 70.4k stars confirmed via star-history.com live tracker, near-plateau growth (+11/week)",🟢 Hyper-active,Best in class — pick this,"~53.6k stars, Apache-2.0, v0.42.0. Daily PRs. Do NOT run alongside sqz or lean-ctx."
sqz,https://github.com/ojuschugh1/sqz,Shell output,"RTK superset: SHA-256 dedup cache (repeat reads = 13 tokens), TOON JSON, null stripping, MCP server (sqz-mcp), predictive pre-cache. v1.0.9. npm install or brew install or curl installer.",Either/or with RTK and lean-ctx — pick exactly one,Rust binary,Rust binary; no model calls; Homebrew or npm install,ELv2,529,▲ +206%,"7 forks, 19 releases, v1.0.9, MCP server, brew/npm",🟡 Active,Either/or — pick if dedup cache is priority,"v1.0.9, 173 stars. Now has MCP server (sqz-mcp), Homebrew, and npm install. Dedup cache is unique: repeat file reads cost 13 tokens vs 2000. PostToolUse hook limitation: cannot compress built-in Read tool output (same as RTK). sqz-mcp provides an alternative compressed Read tool."
lean-ctx,https://github.com/yvgude/lean-ctx,Shell output,"Shell hook + 76 MCP tools (Property Graph, CCP cross-session memory, filesystem guard, provenance store). Bun-native, local-first. 60-90% fewer tokens. 30+ agents. v3.x. brew/npm/cargo/curl install.","⛔ HARD ctx_* namespace collision with magic-context (ctx_memory, ctx_search, ctx_note) if both loaded. Also either/or with RTK and sqz.",Rust binary,Rust binary; no model calls; Bun optional (native support),Apache-2.0,3200,▲ +14%,"confirmed 2.8k stars, 76 MCP tools (was 59), 30+ agents, active website at leanctx.com",🟢 Very active,Best in class features — pick this or RTK,"2.2k stars, v3.2.8, 374+ CI runs. Bun-native, 59 tools, Property Graph + CCP. RTK safest default; lean-ctx best feature set."
omni,https://github.com/fajarhide/omni,Shell output,"Rust ""Context Operating System"". Intercepts terminal commands, streams output through declarative TOML rule-based distillers (no LLM calls). Adaptive compression self-tunes based on omni_retrieve frequency. Smart bypass skips distillation under 2000-token outputs. RewindStore: zero info loss, raw output retrievable via omni_retrieve. Native MCP server (omni mcp, stdio, no subprocess latency). Engrams: automatic rule-based subtask digests (no LLM cost) preventing context amnesia. Context pressure traffic light (omni_insight, warns at 65%/82% thresholds). Goal-driven constraint scaling (debug retains errors, refactor compresses code). Multi-agent collaboration via OMNI_AGENT_ID — Cursor/Claude/Hermes share filtered memory streams. Session handoffs (omni_handoff). Lightweight dependency graph at hook time. v0.6.0, 42 releases, migrated from Node/Zig to Rust.","Either/or with RTK, sqz, lean-ctx — pick exactly one shell tool. Engrams/session memory overlaps lean-ctx CCP, Bitloops, claude-mem (cross-session memory) — different mechanism: omni is rule-based, no LLM cost. Context pressure system overlaps token-optimizer session health monitoring. omni_handoff overlaps Aura and codemap cross-agent handoff.",Rust,"Rust binary; no model calls (rule-based TOML distillers, not AI compression); brew install fajarhide/tap/omni or curl installer",MIT,300,▲ +16%,"26 forks, 42 releases, v0.6.0 Jun 14 2026, 638 commits, active — organic community discussion comparing directly to RTK",🟢 Very active,"Add — sophisticated shell tool alternative, no model dependency","259 stars but real organic adoption (Indonesian dev community comparing directly to RTK). No LLM calls for core mechanism — same ""zero model dependency"" category as RTK/lean-ctx, unlike headroom or claude-mem. Unique: rule-based Engrams (free subtask memory), context pressure traffic light, goal-driven compression scaling. brew install fajarhide/tap/omni then omni init --claude. Author also maintains Heimsense (separate tool to run Claude Code on non-Anthropic models) — worth knowing exists."
agent-context-economy,https://github.com/grafikerdem/agent-context-economy,Shell output,"Six PowerShell scripts the agent calls instead of raw commands to reduce context bloat. run-compact.ps1: runs noisy builds/tests, feeds only error summary to agent (-93% terminal lines). read-symbol.ps1: grabs only a named function/class/component by name instead of reading whole file. read-window.ps1: reads a precise line range. investigate.ps1: batches multiple search patterns into one structured report (-71% shell commands). find-in-file.ps1: fast literal search in known file. diff-summary.ps1: ultra-compact git status. Agent rules in AGENTS.md/CLAUDE.md instruct agent to use these scripts automatically. PowerShell 7.0+. v0.1.1, 14 commits.",Stackable with RTK/sqz/lean-ctx/omni (not either/or): those auto-intercept ALL shell output; agent-context-economy scripts are explicitly called by the agent for targeted reads and runs. No MCP tool name conflicts. read-symbol.ps1 overlaps conceptually with pharos-mcp/Serena symbol lookup but different mechanism (PowerShell script vs MCP server).,PowerShell 7.0+,"PowerShell 7.0+ required. Windows-first (works on macOS/Linux via PowerShell Core but tooling is Windows-oriented). No model calls. git clone then run setup-ai-scripts.ps1, then copy agent rules from examples/AGENTS.example.md into CLAUDE.md/AGENTS.md.",MIT,15,▲ +650%,"0 forks, 2 releases, v0.1.1 Jul 2 2026, 14 commits, solo dev — brand new",🔴 Early,"Watch — too early, Windows-first constraint, explicit-call model","2 stars, v0.1.1 released yesterday. Windows/PowerShell-first is a real constraint for macOS/Linux-primary environments. Explicit-call model (agent must be instructed to use scripts) vs automatic hooks (RTK/omni). Stackable rather than competing with shell hooks. Benchmarks (93% terminal reduction, 90% file read reduction) lack methodology detail — treat as illustrative. Note: kayba-ai/agentic-context-engine is also abbreviated ACE — different tool entirely."
ctxlite,https://github.com/ctxlite/ctxlite,Shell output,"Token optimizer spanning OpenCode, Cursor, Claude Code, and Claude Desktop in one project. Techniques: quieter Bash flags + blocked low-signal reads before a tool call, output compression + symbol-only file reads after, duplicate/stale context pruning before each request, BM25-based relevant-file selection (trim_context/smart_read MCP tools), conciseness instructions for model output. Per-platform automatic-vs-on-demand disclosed explicitly: OpenCode fully automatic (plugin + sidebar TUI widget); Claude Code automatic via PreToolUse/PostToolUse hooks + on-demand MCP; Cursor pre-call rewrite automatic only (platform hook API cannot rewrite output for built-in tools, so output compression has no automatic path); Claude Desktop MCP-only (no hook/plugin API). .ctxliteignore (gitignore-style) blocks project-specific paths from reads/trim_context. 4 packages: @ctxlite/opencode, @ctxlite/mcp, @ctxlite/core (shared BM25 + tree-sitter symbol extraction), @ctxlite/cli. Unified stats at ~/.ctxlite/stats.db across all tools/platforms — npx @ctxlite/cli stats --last 7d --export json. Legacy Go HTTP proxy (L1/L2 caching) explicitly superseded by current plugin/MCP/hooks architecture. 74 commits, 7 tags.","⛔ HARD (shell layer): same hook position as RTK/sqz/lean-ctx/omni — pick exactly one shell/output tool. get_stats/trim_context/smart_read soft-overlap tokentelemetry (observability) and code-nav BM25 retrieval tools conceptually, but no hard MCP tool name collision found.",TypeScript (66.8%) + Go (16.2%) + Shell,"Zero-LLM; no model calls — BM25 + tree-sitter symbol extraction only. Node.js required for npx installers. npx @ctxlite/cli install --tool <opencode|claude-code|cursor|claude-desktop> --scope global --yes, or npx @ctxlite/cli install for interactive picker.",MIT (v0.1.0–v0.1.25) / MIT + Commons Clause (v0.1.26+),5,▲ +67%,"0 forks, 7 tags, 74 commits, CI passing, solo/small team — no third-party coverage found, genuinely very early",🔴 Early,"Watch — too early, but unusually honest capability disclosure and clean architecture","Per-platform automatic-vs-on-demand matrix in the README is unusually candid — explicitly states where Cursor's own hook API prevents automatic output compression, rather than implying uniform behaviour across platforms. Legacy Go proxy left in the repo with an explicit ""superseded"" label rather than silently deleted — good transparency about architectural history. Licence: Commons Clause only restricts reselling/rebranding ctxlite itself as a competing product; commercial/internal company use is fully free. Pre-Commons-Clause versions (v0.1.0-v0.1.25) remain permanently plain MIT, not retroactively changed. Cross-platform breadth (4 tools in one project) is uncommon among shell-compression tools in this comparison, most of which target 1-2 platforms."
context-mode,https://github.com/mksglu/context-mode,All tool output,Sandboxes all tool output + session continuity across compaction,Complement to whichever shell tool you pick; partial overlap with lean-ctx CCP,Node.js,Node.js 18+; no model calls,ELv2,19000,▲ +197%,"485+ issues, 15 platforms, v0.9.23, very active — Cursor plugin in progress",🟢 Very active,Add — covers all tool output + session continuity,"Run alongside your chosen shell tool (RTK/sqz/lean-ctx). Handles web fetches, API dumps, Playwright + session continuity. 15 platforms, v0.9.23."
token-optimizer-mcp,https://github.com/ooples/token-optimizer-mcp,All tool output,"MCP server replacing standard Claude Code file tools with cached/compressed equivalents. 61 tools: smart_read (serves diffs after first read, ~80% reduction on repeated reads), smart_grep, smart_glob, optimize_text (cache large content externally to remove from context), cache_warmup (SQLite pre-warm on session start), get_session_stats, monitoring dashboard. SQLite-based persistent cross-session cache. Brotli compression (2-4x typical, up to 82x repetitive content). Claims: 60-90% token reduction across 38,000+ operations. v5.0.1, 31 releases.",⚠ 61 MCP tool definitions = significant schema overhead at session start — the problem this comparison is solving. Must run with Tool Search deferral to avoid defeating own purpose. smart_read/smart_grep conceptually overlap context-mode (all tool output) and headroom (universal compression) but different mechanism (file-level SQLite cache vs stream compression).,Node.js (TypeScript),"⚠ Node.js 18+. npm install -g @ooples/token-optimizer-mcp (post-install hook auto-installs hooks). HIGH severity unfixed npm vulnerability (picomatch, May 2026 scan). No external API calls — local SQLite cache only.",MIT,437,▲ +8%,"41 forks, 31 releases, v5.0.1 latest Nov 2 2025, 369 commits, 0 open PRs — DORMANT since Nov 2025",🔴 Dormant,Watch — dormant since Nov 2025; unpatched HIGH severity npm vulnerability; README deleted,Project appears abandoned since Nov 2025 (7+ months). README.md replaced with CI/CD workflow docs — actual product documentation is gone from the repo. SkillsLLM automated security scan (May 2026) flagged HIGH severity picomatch vulnerability unfixed. The persistent SQLite cross-session file cache is a genuinely unique capability not replicated elsewhere in this comparison — revisit if project resumes. Must use alongside Tool Search deferral to avoid 61-tool schema overhead problem.
sigmap,https://github.com/manojmallick/sigmap,Static context injection (push model),Extracts fn/class signatures → CLAUDE.md passively. Zero deps. 31 languages. Graph-boosted retrieval (80% hit@5). 97.9% token reduction across 21 repos. 9 MCP tools. v6.10.,Partial overlap with n2-arachne (push model); sig overlap with code nav tools,Node.js,Node.js 18+; no model calls; zero npm deps,MIT,596,▲ +40%,"30 forks, v6.10, 31 languages, 9 MCP tools, community contributors, weekly releases",🟢 Very active,"Add — validated, 426 stars, growing fast",Pre-writes to CLAUDE.md passively. No agent tool call required. Now at v6.x with graph-boosted retrieval and 31 languages. Run: sigmap --monorepo --adapter claude then caveman-compress as post-hook.
virtual-context,https://github.com/virtual-context/virtual-context,Conversation history management,"OS virtual-memory model for message history: tag-based paging, IDF retrieval",Conceptual overlap with context-mode and lean-ctx CCP,Python + Ollama,⚠ Requires Ollama running locally; Python 3.10+,Apache-2,58,▲ +1833%,"no recent issues, no PRs, no commits",⚫ Dormant,Watch — very early,lean-ctx CCP covers cross-session memory. context-mode covers automatic session continuity.
